,name,username,description,location,followers,numberstatuses,time,tweets,url,lang,mentions,hashtags
831,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866.0,370.0,2015-12-30 20:00:33,"  
",['https://t.co/DfMb2onRwK'],en,"['@JohnDaTRiPp3r', '@iscomedygold']",[]
1378,Abu khalid,darulhijrateyni,,,248.0,44.0,2016-01-20 16:00:27,"RT : #BreakingNews #ISIS account:
8000 tank shells
500 Kornet rockets
were seized from the Radio hill depot only today in #Deir…",[],en,['@RamiAlLolah'],"['#BreakingNews', '#ISIS', '#Deir']"
2024,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 19:00:59,"#IslamicState
#WilayatAlAnbar
Destruction of number of #Rafidi mechanisms also killed &amp; injured many E. of #Ramadi 
",['https://t.co/LQiklj2JTG'],en,[],"['#IslamicState', '#WilayatAlAnbar', '#Rafidi', '#Ramadi']"
873,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866.0,370.0,2016-01-01 18:00:56,"IS DON'T LIE!
Mainstream media blackout doesnt mean the truth can be hidden.
This is what happened in #Ramadi today.
",['https://t.co/YsE6TkhUjs'],en,[],['#Ramadi']
2054,Abu Naseeha,AbuNaseeha_03,,Wilayah Twitter,1016.0,487.0,2016-01-30 20:00:14,"RT : 🎥 || Beating Swords || 
 
#IslamicState #Muslims #Bollywood #Hollywood #ISIS #French #Mumbai htt…",['https://t.co/Q5EwDp073t'],en,['@AbuHurairah_39'],"['#IslamicState', '#Muslims', '#Bollywood', '#Hollywood', '#ISIS', '#French', '#Mumbai']"
1589,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24.0,144.0,2016-01-26 15:00:10,"RT : SubhanAllah! We have the nerve to complain about the smallest things, yet we take the biggest blessings for granted. h…",[],en,['@Alhamdhulillaah'],[]
1236,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873.0,91.0,2016-01-16 23:00:08,"New link

“The Meaning of Perseverance 2” from Benghazi



 ","['https://t.co/g0JOylVXg3', 'https://t.co/AnADeN2JJX', 'https://t.co/tuosIQnasj']",en,[],[]
2022,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 19:00:58,"#IS
#WilayatArRaqqah
Pictures of the process of #Ingimashi operation in Western of #Ein_Aysa
 ","['https://t.co/luVvfpTB4s', 'https://t.co/bdSDjaeV0N']",en,[],"['#IS', '#WilayatArRaqqah', '#Ingimashi', '#Ein_Aysa']"
1260,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742.0,348.0,2016-01-17 21:00:09,RT : Forget #Mosul; Forget #Ramadi; Forget everything #ISIS seized.. Ayyash weapons depots are something unimaginable.. #DeirEz…,[],en,['@RamiAlLolah'],"['#Mosul', '#Ramadi', '#ISIS', '#DeirEz']"
1735,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-28 17:00:11,This now confirmed my early news #Turkey army sent additional troops to #Bashiqa camp near #Mosul #Iraq ,['https://t.co/7pQ22tQ0At'],en,[],"['#Turkey', '#Bashiqa', '#Mosul', '#Iraq']"
1625,Salahuddin Ayubi,mobi_ayubi,"Journalist, specialize in ongoing war against terrorism.
Retweet is not endorsement.",,693.0,6707.0,2016-01-26 22:00:55,RT : Vatican: Iran must join fight against terrorism ,['https://t.co/87al6fAELG'],en,['@DailyStarLeb'],[]
323,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362.0,798.0,2015-09-28 09:00:08,War against #IS a proven failure ,['https://t.co/Gd5I0nIqUD'],en,[],['#IS']
1847,٩ Flames of Haqq,Witness_alHaqq,,,605.0,115.0,2016-01-29 18:00:11,"Plz watch if you haven't watched it yet.

Al-Masih Ad-Dajjal (The False Messiah, The Anti-Christ)
By Musa Cerantonio
",['https://t.co/YUqbCn0kC4'],en,[],[]
235,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362.0,798.0,2015-09-23 14:00:36, they will be captured and detained!,[],en,['@EndOfTimes411'],[]
303,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362.0,798.0,2015-09-25 15:00:55,   you dont really know the whole story aq..just bear with me and forgive me..,[],en,"['@_croxetti_', '@ProJ32', '@Somaliyyah']",[]
15845,Fahad al-Kuwaiti,AbuMusab_110,"Muslims, the war is on, what are you waiting for? Fighting is the only way to get your rights back | A slave of Allah.",Land of Allah,944.0,478.0,2016-05-06 17:00:25,"RT : FOLLOW ONE OF THE MOST BENEFICIAL ACCOUNTS FOR THE UMMAH ON TWITTER ⬇️⬇️⬇️⬇️
",[],en,"['@antiISISnot', '@Nussra_E']",[]
1565,Abu khalid,darulhijrateyni,,,248.0,44.0,2016-01-26 04:00:24,"RT : #DeirEzzor24
The terrifying sound of Russian warplanes causes pregnant women t lose their unborn babies in DeirEzzor
https…",[],en,['@DeirEzzor24'],['#DeirEzzor24']
1845,٩ Flames of Haqq,Witness_alHaqq,,,605.0,115.0,2016-01-29 18:00:08,"Plz watch and share ya Ikhwan
Worth watching video made by our akh Al Haqq Media

 ","['https://t.co/XK6SMisUeT', 'https://t.co/YABbCVBrVV']",en,[],[]
1941,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 09:00:15,8 Iraqi soldiers killed in a blast near their position in northern #Ramadi ,['https://t.co/TY6NY2sSBT'],en,[],['#Ramadi']
1907,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 22:00:58,"#IslamicState
#AmaqNewsAgency 
#WilayatHalab

📰| Wounded amongst the Turkish army due to minor clashes with #Islamic_State fighters 
1/2",[],en,[],"['#IslamicState', '#AmaqNewsAgency', '#WilayatHalab', '#Islamic_State']"
1872,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-29 21:00:27,Family in #Tunisia threatening to commit suicide because of unemployment and poverty: ,['https://t.co/xEXtGKRYYf'],en,[],['#Tunisia']
1282,Maghrabi Arabie,MaghrabiArabi,"I'm not a terrorist , just an Islamic Analyst watching events in the ME. Not affiliated with IS or AlQaeda",Dunya,158.0,607.0,2016-01-18 16:00:16,  Better terrorist state then Shi'a state,[],en,"['@AliraqiaAngel', '@Reuters']",[]
13047,☝️,melvynlion,"If you have trust in Allah, you have no need to worry, as one way or another the sun will shine again.!!!",,43.0,137.0,2016-04-20 00:00:57,RT : Our Life is Messed up ,['https://t.co/SR1Dbxt5tT'],en,['@sparksofirhabi4'],[]
995,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139.0,656.0,2016-01-09 11:00:18,RT : In the name of Allah the most gracious the most merciful,[],en,['@thevictoryseri4'],[]
7268,راعي البقر جوز الهند,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1543.0,3730.0,2016-03-09 21:00:23,  😏,[],en,"['@FrenchyMusliiim', '@nayes110']",[]
16701,كتكات كوكونت,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1798.0,7028.0,2016-05-11 23:00:22,"   

",['https://t.co/ET26rLYklX'],en,"['@ThatCoffeeTho', '@fiqhalwaqi', '@Chief_MarshallR']",[]
2031,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 20:00:07," 
2/2
Cleaning and paint the fourth bridge piers



#Caliphate_News",['https://t.co/8ZSNoux6Go'],en,['@Al_Battar_Engl'],['#Caliphate_News']
1713,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-28 12:00:39,RT : An Australian teen 'planned to paint Islamic State symbol on an explosive Kangaroo'  …,"['https://t.co/T8WL84Icp4', 'https://t.co/jhmr']",en,['@vicenews'],[]
1462,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-23 12:00:37,"Tariq Ibn Ziad upon arrival in Andalusia: "" You have the sea behind and death before."" ",['https://t.co/K3fDuUtD3X'],en,[],[]
5838,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7184.0,6629.0,2016-02-26 20:00:18,"Join our Telegramm Group

",['https://t.co/xil7CEY1WP'],en,[],[]
2058,Abu Naseeha,AbuNaseeha_03,,Wilayah Twitter,1016.0,487.0,2016-01-30 20:00:16,RT : Children killed by air raids on al-Bab yesterday ,['https://t.co/7C6LnfB0ew'],en,['@wayf44rer_'],[]
1988,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-30 16:00:30,#US drone downed by #IslamicState units loaded in trk probably tknig somewhere for inspection. #Fallujah #Iraq #ISIS ,['https://t.co/iIK8y1hr1I'],en,[],"['#US', '#IslamicState', '#Fallujah', '#Iraq', '#ISIS']"
1818,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-29 15:00:32,Lolll Latif Ullah Mehsud is presented against media conspiracy.If i was in his place definitely i wd've said wt ISI wanted to hear. Jahel PK,[],en,[],[]
1619,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-26 21:00:42,#Syria|n opposition and #Assad's regime in the first day of #Geneva talks.. ,['https://t.co/qqKTtLo0R2'],en,[],"['#Syria', '#Assad', '#Geneva']"
16208,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,34692.0,18091.0,2016-05-08 19:00:02, Nope..,[],en,['@soran_hawrami'],[]
1464,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866.0,370.0,2016-01-23 13:00:49,"#OperationLindanchi was a total disaster for #Kenya. 
#KDF wishes it never launched that campaign but its too late.
",['https://t.co/DywcCSaLxr'],en,[],"['#OperationLindanchi', '#Kenya', '#KDF']"
16098,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7538.0,7374.0,2016-05-07 10:00:20,         ,[],en,"['@Nidalgazaui', '@Terror_Monitor', '@sayed_ridha', '@DrPartizan_', '@7layers_', '@dumuzi1969', '@Aswed_Flags', '@AkEl_Saruman', '@Free_Media_Hub', '@KirkukKirkukKir']",[]
1291,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-19 04:00:00,"#WilayatNinawa
Sidewalk in the banks of Tigris River in the city of Mosul. 📷  ","['https://t.co/06ZufEZMPQ', 'https://t.co/PQnCMUG9Ha']",en,[],['#WilayatNinawa']
1887,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-29 22:00:25,"RT : #BREAKING
#ISIS claims to have killed +20 #SAA soldiers west of Kweires airbase #Aleppo.",[],en,['@Nidalgazaui'],"['#BREAKING', '#ISIS', '#SAA', '#Aleppo']"
1840,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-29 17:00:12, may be you westerner social intelligence guy... Twitter is much soft in your case. Everything is bad in the bottom i guess..,[],en,['@RamiAlLolah'],[]
1506,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-24 16:00:37,"#YPG #PKK #TwitterKurds :
A bastard terrorist element 4m above bastard groups terrorising Turkeman child wd air gun.
",['https://t.co/rW2CFaouBk'],en,[],"['#YPG', '#PKK', '#TwitterKurds']"
1681,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-28 04:00:17,"#AmaqNews
Religious course for 1200 functionaries of Public Services in Sirte. Details:  ","['https://t.co/93oZ7FwRaq', 'https://t.co/3e7iZIV9MD']",en,[],['#AmaqNews']
1277,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-18 11:00:48,"My week on Twitter: 1 Mentions, 1 Retweets, 455 Retweet Reach, 2 Favorited. How's your audience growing? via ",['https://t.co/hJttq1Iwbb'],en,[],[]
1312,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742.0,348.0,2016-01-19 15:00:43, Eudhubillah. Are you calling me faggot?,[],en,['@The_Jihadi'],[]
1682,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-28 04:00:23,"#WilayatNinawa
Activity of Diwan of Dawah &amp; Masajid in the city of Mosul. 📷  ","['https://t.co/pmSXFKrgSO', 'https://t.co/pLtnDdG2vO']",en,[],['#WilayatNinawa']
1500,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-24 12:00:26,"RT : This gentleman survived, but his goats perished in a #KDF airstrike near #Somalia's  Bua'le town - Media. #Kenya …",['https://t.co/f'],en,['@Daudoo'],"['#KDF', '#Somalia', '#Kenya']"
11516,Jazrawi_Saraqib,Jazrawi_Saraqib,,,955.0,254.0,2016-04-08 14:00:55, yes,[],en,['@whoamidude'],[]
1587,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24.0,144.0,2016-01-26 15:00:09,RT : #Syria: #Russia'n warplanes have wiped out entire homes in the town of Hayyan (#Aleppo)  https://t…,['https://t.co/YC6nw9fFS6'],en,['@arabthomness'],"['#Syria', '#Russia', '#Aleppo']"
282,Kuffar Hunter 1,WhiteCat_7,Die in Rage Twitter!,,362.0,798.0,2015-09-25 14:00:09, you dare xpose me to the enemies! Wil see each other on judgement day!Allah azzawajal is the best judge,[],en,['@WilayatNinawa'],[]
16573,N i d a l,Nidalgazaui,"17yr. old Freedom Activist
/Correspondence of NGNA /Terror Expert/Middle East Expert. Daily News about Syria/Iraq/Yemen/Russia/Middle East",Germany,4662.0,5966.0,2016-05-11 17:00:52,#IS Repelled #SAA Offensive on Huwaysis and killed 25 Soldiers.,[],en,[],"['#IS', '#SAA']"
2032,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 20:00:07,"#IslamicState
#WilayatKarkuk
Liquidation of 3 members of the #Peshmerga and wounding four in the center of #Kirkuk 
",['https://t.co/2RKK28IrUT'],en,[],"['#IslamicState', '#WilayatKarkuk', '#Peshmerga', '#Kirkuk']"
8426,JustUkht Maryam,432Mryam,"Kindness is an mark of faith, and whoever is not kind has no faith.",Nowhere,169.0,70.0,2016-03-18 12:00:33,"RT : YOU HAVE GOT TO
BE MORE INTERESTED
IN PLEASING ALLAH
   THAN YOU ARE
IN PLEASING PEOPLE ",['https://t.co/98pPLNW3OV'],en,['@lion_faisal'],[]
1659,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-27 20:00:09,”There are two types of people with a strong desire and the strong desire of each one of them will not end. The one who has a strong desire,[],en,[],[]
1846,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-29 18:00:10,#YPG terror group considers replacing #Syria|n IDs with new IDs. Only holders to #PYD new IDs will be allowed entry to its territories..,[],en,[],"['#YPG', '#Syria', '#PYD']"
1542,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-25 13:00:52,RT : 📖 Paris Attack from Sharia Perspective 📌 ,['https://t.co/4oUtOKz74j'],en,['@1Dawlah_III'],[]
1676,Abu_Azzam25,Abu_Azzzam25,,,35.0,118.0,2016-01-27 21:00:41,RT : Don't be the one who abandons the Qur'an. Do you want  the Prophet ﷺ to be a witness against you on Judgement day? htt…,[],en,['@sparksofirhabi4'],[]
4221,PROPHET'S KHILĀFA,Battar_English,,,137.0,148.0,2016-02-12 19:00:06,RT : ,['https://t.co/BxWvqH42LI'],en,['@BatInfo147'],[]
504,Plea Of the Ummah!,pleaoftheummah,"Plea of the Ummah!
Ummathuge Aadheys!
A Campaign by Jamiyyathul Bayan.",,92.0,1021.0,2015-10-28 15:00:58,Media is an integral part in the functioning of a proper state. Islamic State has been doing exceptionally well... ,['https://t.co/H8ps9MzMou'],en,[],[]
1717,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-28 13:00:42,Prime Minister Abe says Japan will not participate in military action against The Islamic State. via ,['https://t.co/wv27pcVmRe'],en,['@TIMEWorld'],[]
1376,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742.0,348.0,2016-01-20 13:00:24,RT : : Kurdish fighters destroyed thousands of Arab houses to drive Arabs out in #Iraq. #Mosul #Twitterkurds https:…,[],en,"['@InstantReporter', '@amnesty']","['#Iraq', '#Mosul', '#Twitterkurds']"
11562,كتكات كوكونة,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1707.0,4992.0,2016-04-08 16:00:37,"RT : Sounds like rumors of Abdullah al-Moheiseni’s death are false: 

#Syria",['https://t.co/1WtynIGpYR'],en,['@Charles_Lister'],['#Syria']
1756,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-28 20:00:16,Riyad Hijab: What #Assad couldn't get by killing the #Syria|n people; won't be given to him by the negotiations.. ,['https://t.co/CEeiBfpWiK'],en,[],"['#Assad', '#Syria']"
1979,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 14:00:15,"#Amaq Agency :
#IslamicState fighters attack the Kurdish units eastern and western of ‘Ain-‘Īsā.
",['https://t.co/J89IakmARH'],en,[],"['#Amaq', '#IslamicState']"
1058,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24.0,144.0,2016-01-12 05:00:01,RT : ,['https://t.co/xO1jJ5N6tU'],en,['@freeOurSisters1'],[]
1427,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-22 20:00:14," #Raqqa seems like latest #USA air raid. Vehicles looks like being of wedding party.
See flowers etc ",['https://t.co/bcZsi3ziJH'],en,['@ismailmahsud'],"['#Raqqa', '#USA']"
1753,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-28 19:00:55,RT : Atrocities of #Iraq|i Shiite militias in #Diyala against Sunnis continue. Burning houses &amp; mosques. No condemnation https:…,[],en,['@RamiAlLolah'],"['#Iraq', '#Diyala']"
1431,Abu Muhammad Ashami,06230550_IS,"■ RTs are not Endorsements

■ Changed Kunya

☆Plata O Pomo","England, United Kingdom",57.0,26.0,2016-01-22 21:00:23,Current Situation Map of Wilayat Kheyr.#IS closing in on the assadists. ,['https://t.co/BLIoEH0YuZ'],en,[],['#IS']
2049,Abu Naseeha,AbuNaseeha_03,,Wilayah Twitter,1016.0,487.0,2016-01-30 20:00:14,"RT : 📷| An Aspect of the work of the Da'wah and mosques center in the city of #Sirte 

#IslamicState #Muslims #WorldNews htt…",[],en,['@AbuHurairah_39'],"['#Sirte', '#IslamicState', '#Muslims', '#WorldNews']"
2077,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-31 01:00:52, picture is unrelated.,[],en,['@MiddleEastEye'],[]
1596,Abu khalid,darulhijrateyni,,,248.0,44.0,2016-01-26 16:00:05,RT : The last two #Assad's army positions surroundings SAA Brigade 128 have fell to #ISIS #Damascus #Syria …,['https://t.co/du0lGev'],en,['@RamiAlLolah'],"['#Assad', '#ISIS', '#Damascus', '#Syria']"
1724,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-28 14:00:28,#PYD #YPG terror group head Salih Muslim wondering why no invitation to #Geneva was sent to him #Syria #TwitterKurds ,['https://t.co/rnaIV7cnYx'],en,[],"['#PYD', '#YPG', '#Geneva', '#Syria', '#TwitterKurds']"
1529,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866.0,370.0,2016-01-25 07:00:45,"#Kenya contemplating withdrawal of its troops from Somalia after #ElAdde massacre but its too late, Alshababa still has some business to do.",[],en,[],"['#Kenya', '#ElAdde']"
437,The Witnesser,Bajwa47online,"The Dust Will Never Settle Down  
                   
                                                   
(Abu Talhah)",,427.0,1953.0,2015-10-16 06:00:43,#FreeMuslimPrisoners 😞😞😞,[],en,[],['#FreeMuslimPrisoners']
1484,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-23 23:00:45,"#WilayatArRaqqah
Aspects from the work of Service Department in Tabqa city. 📷  ","['https://t.co/Q4ygAr1xwy', 'https://t.co/gewR1ymARo']",en,[],['#WilayatArRaqqah']
1217,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873.0,91.0,2016-01-16 20:00:17,"Wilāyat Al anbar

Work Of Services Department In #Anbar. ",['https://t.co/GRbvQHfXOh'],en,[],['#Anbar']
1467,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-23 16:00:11,"RT : #USA war criminals bomb weddings..
#Russia|n war criminals bomb hospitals..
#Assad starving the rest..
#Raqqa #Syria https…",[],en,['@RamiAlLolah'],"['#USA', '#Russia', '#Assad', '#Raqqa', '#Syria']"
2056,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 20:00:15,"#IslamicState
#WilayatHalab
Education for the Cubs of #Khilafah in the city of #Akhtarin
#Caliphate_News ",['https://t.co/EOGz2oyNXu'],en,[],"['#IslamicState', '#WilayatHalab', '#Khilafah', '#Akhtarin', '#Caliphate_News']"
1836,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-29 16:00:34, He doesn't know about Islam more than the 140 characters Twitter is allowing him to tweet..  ,[],en,"['@dtim21', '@abotalut4', '@charliewinter']",[]
1804,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-29 15:00:24,RT : #Syria ,['https://t.co/C00ZOnkS8H'],en,['@BrunFree'],['#Syria']
1940,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 09:00:09,Turkish young men wanted to join Rebels reportedly alNusra was shot yesterday by Turkish soldiers while he was... ,['https://t.co/Iawklm2sLw'],en,[],[]
1963,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 11:00:47,"RT : #Refugee Camp in #Syria, #Idlib under fire After #Russia striked the camp with +60 Airstrikes. ",['https://t.co/0UsiiNbrwE'],en,['@Nidalgazaui'],"['#Refugee', '#Syria', '#Idlib', '#Russia']"
16589,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,34692.0,18091.0,2016-05-11 18:00:42,  Oooops,[],en,"['@wordsburning2', '@__alfresco__']",[]
2057,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 20:00:16,"#IslamicState
#WilayatNinawa

📷| A tour of the #AlArabiyah neighborhood



#Caliphate_News ","['https://t.co/m9SKOsMlZt', 'https://t.co/QDeo70o1Be']",en,[],"['#IslamicState', '#WilayatNinawa', '#AlArabiyah', '#Caliphate_News']"
2048,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 20:00:14,"#IslamicState
#WilayatHalab
Education for the Cubs of #Khilafah in the city of #Akhtarin
#Caliphate_News ",['https://t.co/ohIKGl6fbv'],en,[],"['#IslamicState', '#WilayatHalab', '#Khilafah', '#Akhtarin', '#Caliphate_News']"
2073,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-30 21:00:07,"RT : Watch ""Story of Ata Ibn Abi Rabah and Sulayman ibn Abd Al Malik - Shaykh Ahmad Musa Jibril"" on YouTube
…",['https://t.co/HT'],en,['@LoveShaykhAhmad'],[]
1854,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-29 18:00:49,#alQaeda-linked Nusra fighters captured by #ISIS in a retaliation attack in west #Qalamoun #Syria ,['https://t.co/knjEcMOzgn'],en,[],"['#alQaeda', '#ISIS', '#Qalamoun', '#Syria']"
1945,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 09:00:45,"RT : One of the 7 killed #Qassam militants in #Gaza.

Killed while building a tunnel which collapsed in #Gaza. …",['https://t.co/GAa'],en,['@Nidalgazaui'],"['#Qassam', '#Gaza', '#Gaza']"
1435,Abu Muhammad Ashami,06230550_IS,"■ RTs are not Endorsements

■ Changed Kunya

☆Plata O Pomo","England, United Kingdom",57.0,26.0,2016-01-22 21:00:47,1.The irony of Sahwat is that they make excuses for the Kufr of Democracy &amp; alliance with Kuffar yet bash &amp; condemn #IS all the time for,[],en,[],['#IS']
